x,y,cld,dtr,frs,pre,tmn,tmp,elevation,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
90.380931,22.437184,41.6,12.8,0,1.7,12.7,19.1,147,27970.9831,3691.74695,1
87.854975,22.986757,40.5,13.3,0,0,13.2,19.8,145,25063.64669,671.3267014,1
85.279935,23.610181,27.3,13.6,0.08,0.6,9.4,16.2,158,6038.477155,1426.839831,1
81.56451,43.882221,45.3,12.8,31,8.8,-22.5,-16.1,178,760.7033397,0,1
81.161057,43.834976,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.248335,43.966008,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.074165,43.836019,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.547132,43.688309,45.3,12.8,31,8.8,-22.5,-16.1,178,760.7033397,0,1
81.239566,43.591386,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.324148,43.978094,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.419105,43.761281,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
80.985762,43.842698,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
80.998887,43.546925,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
80.800777,43.801366,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
81.25112,43.805409,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
80.866547,43.833523,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
81.31971,43.727804,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
81.206167,43.8284,38.8,13.2,31,10.5,-20.4,-13.8,185,270.3674263,0,1
80.79963,44.045009,43.8,13.2,31,11.9,-21.8,-15.2,167,1044.908233,0,1
80.90709,43.99365,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
81.12118,43.15416,45.1,13.7,31,7.1,-25.3,-18.4,203,252.1598838,0,1
35.330164,32.791981,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.306662,32.776675,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.028724,32.456501,54,8.3,0.74,102.9,8.2,12.3,191,523.3880539,0,1
35.435592,32.694453,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.465791,32.811608,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.465791,32.811608,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.63843,32.75435,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
82.661315,53.804183,61.6,8.6,31,7.6,-26.7,-22.4,156,176.7408241,0.000270372,1
47.9557,51.446,71.1,6.8,30.97,42.6,-13.3,-9.9,149,248.5527282,0.000305944,1
47.931788,51.445628,71.1,6.8,30.97,42.6,-13.3,-9.9,149,248.5527282,0.000305944,1
69.124549,55.569204,45.1,8.4,31,3.5,-25.2,-21,150,156.6862837,0.001739317,1
69.3242,55.4583,42.4,8.4,31,3.6,-25.1,-20.9,151,131.9575087,0.006330749,1
91.876,22.298,30.5,11.3,0,3.9,14,19.6,149,1719.636454,32.81055754,1
35.1877,31.5729,50.5,9.1,1.01,79.2,7.9,12.4,160,9.145161204,0,1
72.75143,54.55858,46.2,8.2,31,4.3,-25.7,-21.6,153,262.0668625,0.004211262,1
72.12187,54.98289,47,8.3,31,4.3,-25.5,-21.3,153,260.1336625,0.004758991,1
75.814718,54.955058,36.9,8.6,31,5.8,-27.3,-23,151,185.7729687,0.001074965,1
70.16604,55.937892,47.8,8.3,31,3.6,-25.1,-20.9,155,104.7709918,0.000793021,1
69.20185,55.6713,45.1,8.4,31,3.5,-25.2,-21,150,156.6862837,0.001739317,1
78.649628,54.917817,52.7,8,31,6.1,-26.5,-22.5,155,175.6994304,0.002391627,1
74.871614,54.81272,44.5,8.4,31,5.1,-26.2,-22,152,213.1550973,0.002538065,1
78.096482,54.92527,53.2,8,31,6,-26.6,-22.6,154,144.7600887,0.000451896,1
73.05368,54.323148,46.8,8.4,31,5.2,-25.5,-21.3,153,250.2906518,0.005896505,1
75.51794,54.84852,36.9,8.6,31,5.8,-27.3,-23,151,185.7729687,0.001074965,1
76.867777,55.05673,47.8,8.1,31,5.4,-26.8,-22.7,153,176.1309735,0.001512286,1
74.14463,54.5556,44.8,8.3,31,5.2,-26.1,-21.9,153,286.2762257,0.003381517,1
36.4843,34.9092,67.4,7.4,4.27,122.7,5.6,9.3,171,944.6532683,1.00E-08,1
88.95,24.73,40.5,13.4,0,6.4,11.7,18.4,145,24730.39136,800.2351969,1
89.09,22.65,41.9,13.5,0,0.7,12.6,19.3,145,22074.53379,377.1849474,1
86.3711,20.9605,36.7,12.4,0,0,15.1,21.3,145,36535.52167,207.2462842,1
86.857682,21.636522,37,13.2,0,1.5,13.1,19.7,146,8614.420873,116.2412195,1
86.91667,21.585458,37,13.2,0,1.5,13.1,19.7,146,8614.420873,116.2412195,1
79.95024,52.49329,55.2,9.1,31,8.6,-25.9,-21.3,156,251.9028643,0.000839016,1
91.696838,24.589827,43.9,14,0,9.8,11,18,147,10521.85943,1010.077194,1
90.414794,24.721343,44,13.1,0,5.7,11.9,18.4,147,21988.65273,494.4530552,1
89.333251,23.136049,42.8,14.3,0,2.5,11.6,18.7,145,27967.79992,536.094454,1
88.940108,24.542086,40.5,13.4,0,6.4,11.7,18.4,145,24730.39136,800.2351969,1
88.968374,25.835213,36.6,13.7,0,6.9,10.9,17.7,150,39462.81784,1042.23329,1
35.406541,33.050647,61.1,7.6,0.11,159.4,9.3,13.1,161,602.6296796,0,1
76.96952,55.81528,49.2,8,31,5.3,-26.1,-22.1,153,161.604946,0.000932622,1
86.3711,20.9605,36.7,12.4,0,0,15.1,21.3,145,36535.52167,207.2462842,1
86.857682,21.636522,37,13.2,0,1.5,13.1,19.7,146,8614.420873,116.2412195,1
86.91667,21.585458,37,13.2,0,1.5,13.1,19.7,146,8614.420873,116.2412195,1
90.598,23.685,39,13.8,0,3.9,11.7,18.6,145,8504.041943,322.0633522,1
70.273,55.652,47.8,8.3,31,3.6,-25.1,-20.9,155,104.7709918,0.000793021,1
91.876,22.298,30.5,11.3,0,3.9,14,19.6,149,1719.636454,32.81055754,1
70.143763,55.924905,47.8,8.3,31,3.6,-25.1,-20.9,155,104.7709918,0.000793021,1
46.603424,51.29798,75.2,6.4,30.78,46.1,-12.1,-8.9,149,310.2914362,0.00160353,1
74.533353,55.081623,47,8.4,31,5.1,-26.4,-22.2,154,229.9346524,0.001855764,1
70.495382,55.609609,47.8,8.3,31,3.6,-25.1,-20.9,155,104.7709918,0.000793021,1
78.265121,54.895912,53.2,8,31,6,-26.6,-22.6,154,144.7600887,0.000451896,1
74.593919,55.048349,47,8.4,31,5.1,-26.4,-22.2,154,229.9346524,0.001855764,1
80.99361,43.54425,43.6,13.3,31,11.1,-19,-12.3,183,165.8319872,0,1
74.871614,54.81272,44.5,8.4,31,5.1,-26.2,-22,152,213.1550973,0.002538065,1
78.096482,54.92527,53.2,8,31,6,-26.6,-22.6,154,144.7600887,0.000451896,1
74.871614,54.81272,44.5,8.4,31,5.1,-26.2,-22,152,213.1550973,0.002538065,1
78.096482,54.92527,53.2,8,31,6,-26.6,-22.6,154,144.7600887,0.000451896,1
74.14463,54.5556,44.8,8.3,31,5.2,-26.1,-21.9,153,286.2762257,0.003381517,1
36.4821,35.3084,69.9,6.6,3.73,119.1,5.9,9.2,190,601.3213745,0,1
