Account length,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Churn
128,25,265.1,110,45.07,197.4,99,16.78,244.7,91,FALSE
107,26,161.6,123,27.47,195.5,103,16.62,254.4,103,FALSE
137,0,243.4,114,41.38,121.2,110,10.3,162.6,104,FALSE
84,0,299.4,71,50.9,61.9,88,5.26,196.9,89,FALSE
75,0,166.7,113,28.34,148.3,122,12.61,186.9,121,FALSE
118,0,223.4,98,37.98,220.6,101,18.75,203.9,118,FALSE
121,24,218.2,88,37.09,348.5,108,29.62,212.6,118,FALSE
147,0,157,79,26.69,103.1,94,8.76,211.8,96,FALSE
117,0,184.5,97,31.37,351.6,80,29.89,215.8,90,FALSE
141,37,258.6,84,43.96,222,111,18.87,326.4,97,FALSE
65,0,129.1,137,21.95,228.5,83,19.42,208.8,111,TRUE
74,0,187.7,127,31.91,163.4,148,13.89,196,94,FALSE
168,0,128.8,96,21.9,104.9,71,8.92,141.1,128,FALSE
95,0,156.6,88,26.62,247.6,75,21.05,192.3,115,FALSE
62,0,120.7,70,20.52,307.2,76,26.11,203,99,FALSE
161,0,332.9,67,56.59,317.8,97,27.01,160.6,128,TRUE
85,27,196.4,139,33.39,280.9,90,23.88,89.3,75,FALSE
93,0,190.7,114,32.42,218.2,111,18.55,129.6,121,FALSE
76,33,189.7,66,32.25,212.8,65,18.09,165.7,108,FALSE
73,0,224.4,90,38.15,159.5,88,13.56,192.8,74,FALSE
147,0,155.1,117,26.37,239.7,93,20.37,208.8,133,FALSE
77,0,62.4,89,10.61,169.9,121,14.44,209.6,64,TRUE
130,0,183,112,31.11,72.9,99,6.2,181.8,78,FALSE
111,0,110.4,103,18.77,137.3,102,11.67,189.6,105,FALSE
132,0,81.1,86,13.79,245.2,72,20.84,237,115,FALSE
174,0,124.3,76,21.13,277.1,112,23.55,250.7,115,FALSE
57,39,213,115,36.21,191.1,112,16.24,182.7,115,FALSE
54,0,134.3,73,22.83,155.5,100,13.22,102.1,68,FALSE
20,0,190,109,32.3,258.2,84,21.95,181.5,102,FALSE
49,0,119.3,117,20.28,215.1,109,18.28,178.7,90,FALSE
142,0,84.8,95,14.42,136.7,63,11.62,250.5,148,FALSE
75,0,226.1,105,38.44,201.5,107,17.13,246.2,98,FALSE
172,0,212,121,36.04,31.2,115,2.65,293.3,78,FALSE
12,0,249.6,118,42.43,252.4,119,21.45,280.2,90,TRUE
57,25,176.8,94,30.06,195,75,16.58,213.5,116,FALSE
72,37,220,80,37.4,217.3,102,18.47,152.8,71,FALSE
36,30,146.3,128,24.87,162.5,80,13.81,129.3,109,FALSE
78,0,130.8,64,22.24,223.7,116,19.01,227.8,108,FALSE
136,33,203.9,106,34.66,187.6,99,15.95,101.7,107,FALSE
149,0,140.4,94,23.87,271.8,92,23.1,188.3,108,FALSE
98,0,126.3,102,21.47,166.8,85,14.18,187.8,135,FALSE
135,41,173.1,85,29.43,203.9,107,17.33,122.2,78,TRUE
34,0,124.8,82,21.22,282.2,98,23.99,311.5,78,FALSE
160,0,85.8,77,14.59,165.3,110,14.05,178.5,92,FALSE
64,0,154,67,26.18,225.8,118,19.19,265.3,86,FALSE
59,28,120.9,97,20.55,213,92,18.11,163.1,116,FALSE
65,0,211.3,120,35.92,162.6,122,13.82,134.7,118,FALSE
142,0,187,133,31.79,134.6,74,11.44,242.2,127,FALSE
119,0,159.1,114,27.05,231.3,117,19.66,143.2,91,TRUE
97,24,133.2,135,22.64,217.2,58,18.46,70.6,79,FALSE
52,0,191.9,108,32.62,269.8,96,22.93,236.8,87,FALSE
60,0,220.6,57,37.5,211.1,115,17.94,249,129,FALSE
10,0,186.1,112,31.64,190.2,66,16.17,282.8,57,FALSE
96,0,160.2,117,27.23,267.5,67,22.74,228.5,68,FALSE
87,0,151,83,25.67,219.7,116,18.67,203.9,127,TRUE
81,0,175.5,67,29.84,249.3,85,21.19,270.2,98,FALSE
141,0,126.9,98,21.57,180,62,15.3,140.8,128,FALSE
121,30,198.4,129,33.73,75.3,77,6.4,181.2,77,TRUE
68,0,148.8,70,25.3,246.5,164,20.95,129.8,103,FALSE
125,0,229.3,103,38.98,177.4,126,15.08,189.3,95,FALSE
174,0,192.1,97,32.66,169.9,94,14.44,166.6,54,FALSE
116,34,268.6,83,45.66,178.2,142,15.15,166.3,106,FALSE
74,33,193.7,91,32.93,246.1,96,20.92,138,92,FALSE
149,28,180.7,92,30.72,187.8,64,15.96,265.5,53,FALSE
38,0,131.2,98,22.3,162.9,97,13.85,159,106,FALSE
40,41,148.1,74,25.18,169.5,88,14.41,214.1,102,FALSE
43,0,251.5,105,42.76,212.8,104,18.09,157.8,67,FALSE
113,0,125.2,93,21.28,206.4,119,17.54,129.3,139,FALSE
126,0,211.6,70,35.97,216.9,80,18.44,153.5,60,FALSE
150,0,178.9,101,30.41,169.1,110,14.37,148.6,100,TRUE
138,0,241.8,93,41.11,170.5,83,14.49,295.3,104,FALSE
162,46,224.9,97,38.23,188.2,84,16,254.6,61,FALSE
147,0,248.6,83,42.26,148.9,85,12.66,172.5,109,FALSE
90,0,203.4,146,34.58,226.7,117,19.27,152.4,105,FALSE
85,0,235.8,109,40.09,157.2,94,13.36,188.2,99,FALSE
50,0,157.1,90,26.71,223.3,72,18.98,181.4,111,FALSE
82,0,300.3,109,51.05,181,100,15.39,270.1,73,TRUE
144,0,61.6,117,10.47,77.1,85,6.55,173,99,TRUE
46,0,214.1,72,36.4,164.4,104,13.97,177.5,113,FALSE
70,0,170.2,98,28.93,155.2,102,13.19,228.6,76,FALSE
144,0,201.1,99,34.19,303.5,74,25.8,224,119,FALSE
116,0,215.4,104,36.62,204.8,79,17.41,278.5,109,FALSE
55,25,165.6,123,28.15,136.1,95,11.57,175.7,90,FALSE
70,24,249.5,101,42.42,259.7,98,22.07,222.7,68,FALSE
106,0,210.6,96,35.8,249.2,85,21.18,191.4,88,TRUE
128,29,179.3,104,30.48,225.9,86,19.2,323,78,FALSE
94,0,157.9,105,26.84,155,101,13.18,189.6,84,TRUE
111,0,214.3,118,36.43,208.5,76,17.72,182.4,98,FALSE
74,35,154.1,104,26.2,123.4,84,10.49,202.1,57,FALSE
128,0,237.9,125,40.44,247.6,93,21.05,208.9,68,TRUE
82,0,143.9,61,24.46,194.9,105,16.57,109.6,94,FALSE
155,0,203.4,100,34.58,190.9,104,16.23,196,119,TRUE
80,0,124.3,100,21.13,173,107,14.71,253.2,62,FALSE
78,0,252.9,93,42.99,178.4,112,15.16,263.9,105,FALSE
90,0,179.1,71,30.45,190.6,81,16.2,127.7,91,FALSE
104,0,278.4,106,47.33,81,113,6.89,163.2,137,FALSE
73,0,160.1,110,27.22,213.3,72,18.13,174.1,72,FALSE
99,0,198.2,87,33.69,207.3,76,17.62,190.9,113,FALSE
120,0,212.1,131,36.06,209.4,104,17.8,167.2,96,TRUE
77,0,251.8,72,42.81,205.7,126,17.48,275.2,109,TRUE
98,21,161.2,114,27.4,252.2,83,21.44,160.2,92,FALSE
108,0,178.3,137,30.31,189,76,16.07,129.1,102,FALSE
135,0,151.7,82,25.79,119,105,10.12,180,100,FALSE
95,0,135,99,22.95,183.6,106,15.61,245.3,102,FALSE
122,0,170.5,94,28.99,173.7,109,14.76,248.6,75,FALSE
95,0,238.1,65,40.48,187.2,98,15.91,190,115,FALSE
36,29,281.4,102,47.84,202.2,76,17.19,187.2,113,FALSE
93,21,117.9,131,20.04,164.5,115,13.98,217,86,FALSE
141,32,148.6,91,25.26,131.1,97,11.14,219.4,142,FALSE
157,0,229.8,90,39.07,147.9,121,12.57,241.4,108,FALSE
120,0,165,100,28.05,317.2,83,26.96,119.2,86,FALSE
103,0,185,117,31.45,223.3,94,18.98,222.8,91,FALSE
98,0,161,117,27.37,190.9,113,16.23,227.7,113,FALSE
125,0,126.7,108,21.54,206,90,17.51,247.8,114,FALSE
63,0,58.9,125,10.01,169.6,59,14.42,211.4,88,FALSE
